,clust,Customer Lifetime Value,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Total Claim Amount,Education,Vehicle Size
2615,1,7347.410517,29491,61,26,62,0,2,292.8,1,1
2616,2,8578.364528,78077,107,11,47,2,6,438.069458,3,1
2617,2,3467.3239759999997,0,96,2,53,0,1,799.251165,3,2
2618,1,8901.468512000001,76558,74,2,45,0,2,216.980413,0,1
2619,1,2619.337376,78618,66,7,56,0,1,225.578841,0,1
2620,1,8838.085637,82664,114,24,10,3,9,133.425609,0,1
2621,0,10127.77087,23053,132,5,97,0,8,780.941649,2,1
2622,1,4633.452912,50250,117,3,93,0,1,561.6,0,1
2623,0,7796.000083,32169,199,0,74,0,1,785.82348,3,1
2624,2,2993.024583,0,80,28,97,0,1,286.115778,4,1
2625,1,7985.472561,99069,66,7,28,0,2,77.442722,1,1
2626,0,3508.569533,20978,98,19,96,1,1,1176.2788,1,2
2627,1,2722.210707,17576,71,29,70,0,1,398.502948,1,1
2628,1,2783.583044,42297,71,29,62,0,1,200.38673,0,1
2629,0,8649.997286,0,115,0,3,0,3,824.597262,0,2
2630,1,4652.91278,0,63,21,23,0,7,151.231247,1,1
2631,2,8395.806331,0,110,22,72,0,9,161.092415,2,1
2632,1,8804.53711,48990,74,3,20,0,2,355.2,1,1
2633,1,7155.337765,16916,64,31,31,0,2,377.512951,1,1
2634,1,3954.3445340000003,18375,103,8,50,0,1,535.080276,0,0
2635,1,15032.9003,17150,65,28,19,0,2,689.800891,1,1
2636,1,8257.666512,23815,73,4,47,0,2,424.330166,0,1
2637,1,9256.918609,21947,118,30,76,0,9,566.4,1,0
2638,1,6507.751779,0,97,4,11,0,4,863.219668,0,1
2639,1,2530.705137,89451,63,11,2,0,1,61.769564,0,1
2640,1,5482.549359000001,79325,68,4,31,0,4,251.29482099999998,0,1
2641,1,4050.506193,88454,101,8,89,0,1,308.749796,1,1
2642,2,6326.679236,0,87,2,41,0,3,417.6,3,1
2643,1,2627.7622899999997,20943,69,0,86,0,1,240.00056,1,1
2644,1,7814.604545,51972,66,19,22,0,2,316.8,0,1
2645,1,6314.579645000001,54408,79,29,17,0,4,288.329793,1,1
2646,1,6386.278164,23751,82,4,9,1,7,586.921708,0,1
2647,1,2537.969253,37612,64,0,32,0,1,307.2,0,2
2648,1,5335.375586,91603,69,4,92,2,3,472.67262,0,2
2649,2,4549.079221,0,62,12,53,0,3,639.7583139999999,3,1
2650,0,4836.21886,16450,128,6,81,0,1,871.4845650000001,3,1
2651,1,6478.801192,50864,83,18,86,1,4,158.36297199999998,0,1
2652,0,35440.14262,74560,110,31,20,0,2,528.0,1,1
2653,2,2404.380963,62488,62,35,47,2,1,200.689331,3,1
2654,1,9264.565015,55837,117,16,35,0,9,741.8675059999999,0,1
2655,1,2433.0246309999998,0,66,12,71,0,1,475.2,1,1
2656,1,5367.089817,97742,67,33,57,0,5,67.648392,1,2
2657,1,2452.360892,0,69,13,75,0,1,496.8,0,1
2658,2,8646.504109,64125,108,3,44,0,3,369.818708,3,0
2659,1,4340.086445,0,62,22,39,0,6,446.4,1,1
2660,2,4930.949334,70412,61,27,12,0,3,136.29108300000001,2,1
2661,1,5292.632490999999,0,70,13,8,0,3,336.0,0,1
2662,0,8986.610653,66267,111,23,95,0,3,1093.7088509999999,3,2
2663,1,5619.967791,0,82,14,23,0,6,863.9353070000001,1,1
2664,2,10340.45566,40882,89,6,17,0,2,393.637436,3,0
2665,2,6369.262355,34498,83,30,72,0,7,398.4,3,2
2666,2,2767.5949,0,74,0,52,0,1,355.2,3,2
2667,2,4831.421687,23228,64,4,0,1,6,307.2,3,1
2668,1,4282.9479710000005,40864,109,16,70,1,1,166.937747,1,1
2669,2,5718.276608,46133,73,7,78,0,5,19.626306,4,0
2670,1,2580.849899,46900,66,13,59,0,1,316.8,1,1
2671,2,6481.382268,0,92,1,17,0,6,441.6,3,1
2672,2,5133.414764,53390,64,13,41,0,5,278.99940899999996,4,1
2673,1,9369.639890999999,99185,115,8,19,0,3,449.42818200000005,1,1
2674,1,3196.578455,62815,80,14,84,0,1,47.061469,0,0
2675,1,4720.608872,26277,61,17,30,0,4,292.8,1,1
2676,2,8861.900439000001,41854,110,17,44,0,8,481.269644,2,1
2677,1,6032.737631,0,86,4,56,0,8,412.8,1,1
2678,2,6832.36853,66627,85,32,55,0,8,733.2112599999999,3,1
2679,2,2242.090803,12131,64,32,60,1,1,251.44949,3,1
2680,2,4157.698118,0,110,4,61,0,1,528.0,3,1
2681,1,6189.122455,0,90,4,18,0,5,648.0,0,0
2682,1,5643.724704,33317,72,18,31,1,3,345.6,1,1
2683,2,5332.462694,68931,66,32,30,0,7,309.577946,2,1
2684,1,2121.313061,0,67,6,60,1,1,321.6,1,0
2685,2,8281.740124,19189,108,21,9,0,3,518.4,3,0
2686,0,7835.929298999999,49390,195,31,15,0,1,738.05105,4,1
2687,1,2552.913868,33124,67,35,7,0,1,80.119997,1,0
2688,1,2795.410029,40516,70,21,31,0,1,137.168874,1,2
2689,2,8007.399376,0,112,12,93,0,3,537.6,3,1
2690,1,6886.3244939999995,34615,87,6,73,0,7,417.6,1,1
2691,1,5106.781547,29894,72,9,69,4,3,16.510134,1,0
2692,1,5612.375586,0,79,32,2,0,3,379.2,0,1
2693,2,5658.912313000001,0,84,32,96,0,4,847.490817,3,1
2694,2,7263.599744,86732,180,0,95,0,1,204.373113,3,1
2695,2,8712.157740999999,68516,216,17,0,0,1,95.693949,4,1
2696,2,9198.685111,31562,115,14,6,0,3,552.0,2,1
2697,2,5162.370678,0,74,33,92,0,4,582.420512,3,1
2698,1,6289.946999,24477,79,15,32,0,3,379.2,0,2
2699,2,3649.708655,0,100,31,80,0,1,480.0,4,1
2700,1,6766.558551000001,20046,87,15,59,0,3,417.6,1,1
2701,1,4631.011293,78152,114,18,35,0,1,547.2,0,1
2702,1,6810.525309999999,0,65,7,47,0,2,733.5224049999999,0,0
2703,1,9378.634228,36067,117,30,78,0,3,561.6,1,0
2704,1,15762.531980000002,44362,66,15,75,0,2,142.113373,0,2
2705,2,2635.505781,77350,66,11,4,0,1,316.8,4,1
2706,1,5741.72743,86641,71,17,79,0,6,161.752532,1,2
2707,1,8414.942855,72258,105,8,50,0,4,12.497538,1,1
2708,1,9123.911266,70737,114,25,12,0,4,741.655597,0,1
2709,0,15994.008,0,159,19,75,0,2,1410.16929,0,1
2710,0,9022.083129999999,0,125,7,99,0,3,988.5350779999999,1,0
2711,1,4759.664624,0,81,10,80,3,3,388.8,1,1
2712,1,3993.8829939999996,17672,110,28,16,0,1,792.0,0,1
2713,0,18853.73945,0,173,24,21,0,2,1245.6,3,1
2714,2,8840.193762,47297,115,10,46,4,4,796.130111,3,1
2715,2,6696.903521,57240,83,18,79,0,7,83.652384,2,1
2716,1,8476.082867000001,28181,109,32,41,0,3,523.2,0,1
2717,1,5205.7481880000005,31275,66,26,0,0,3,316.8,0,1
2718,0,6141.961622999999,0,182,24,45,0,1,1310.4,1,2
2719,1,4376.363592000001,63774,111,18,63,0,1,60.036683,0,1
2720,2,12375.02163,78441,103,6,73,0,2,613.866905,3,1
2721,1,3451.1024399999997,0,104,19,65,2,1,499.2,1,2
2722,1,8107.265329999999,0,76,0,91,0,2,364.8,1,2
2723,1,8662.048958,0,117,0,65,0,4,511.422666,1,1
2724,2,8696.907111,91423,109,3,71,1,5,435.796252,3,1
2725,1,2535.266473,86933,63,3,64,0,1,269.563038,0,0
2726,2,5633.741543,65255,72,3,65,2,3,321.457124,2,2
2727,2,5176.730072,41533,65,2,46,0,9,232.87976600000002,3,1
2728,1,5531.723723,50097,71,25,81,0,5,17.484679,1,1
2729,1,2810.671023,73858,72,8,59,3,1,422.59237,0,1
2730,1,2780.729047,94943,69,3,22,0,1,387.545055,1,1
2731,1,2572.4526339999998,72685,68,20,97,5,1,14.464782999999999,1,1
2732,0,7664.219255,60184,199,7,44,1,1,161.61574,1,1
2733,2,3839.7461590000003,0,106,29,38,0,1,763.2,3,2
2734,2,2509.268453,74045,64,23,83,0,1,307.2,3,1
2735,2,14566.09246,52564,122,33,28,0,2,42.131925,3,1
2736,1,3220.775528,19098,87,35,3,0,1,417.6,0,1
2737,1,3199.824902,78784,80,33,72,0,1,239.964694,1,1
2738,1,16045.109519999998,0,65,10,10,0,2,163.046956,1,1
2739,1,4918.9162670000005,29256,63,33,41,0,5,302.4,1,1
2740,2,5623.757656000001,77912,71,2,21,1,3,23.89816,3,1
2741,1,5677.465907,45345,72,28,86,0,3,99.03945300000001,1,0
2742,1,3016.444225,25630,86,8,63,0,1,412.8,1,1
2743,1,5279.124682,22280,68,10,48,0,3,169.414572,1,0
2744,2,4803.935174,0,69,31,25,0,7,496.8,3,2
2745,2,2608.786334,61567,65,35,78,0,1,39.532978,4,2
2746,2,7832.5690079999995,34644,66,7,36,0,2,316.8,3,1
2747,0,4260.33573,26991,119,34,65,0,1,856.8,1,1
2748,1,2369.369299,49746,61,5,88,0,1,624.4287400000001,0,2
2749,2,20604.01627,0,72,8,61,1,2,723.010515,3,1
2750,1,2652.067994,49625,66,29,9,0,1,261.549577,1,1
2751,1,2597.864075,49308,65,7,97,0,1,150.235884,1,1
2752,2,7712.436970999999,63624,95,10,5,0,5,175.24346699999998,4,1
2753,2,4698.88415,80358,116,19,2,0,1,443.63724299999996,4,0
2754,1,3403.9193659999996,38460,88,15,1,1,1,91.55098000000001,1,1
2755,2,4355.702300999999,0,64,22,22,0,4,460.8,3,1
2756,1,11095.97445,0,101,10,48,0,2,727.2,0,1
2757,2,3300.684961,0,92,3,9,0,1,711.323244,3,2
2758,1,6981.0816939999995,34835,89,1,45,2,9,294.691896,1,1
2759,1,16922.12519,93836,139,1,19,0,2,497.35310599999997,0,1
2760,0,7639.670244,34075,196,8,87,0,1,451.896687,4,2
2761,1,19237.77089,35624,66,6,55,2,2,227.44626,0,1
2762,2,2915.649943,83218,72,6,42,0,1,245.10388500000002,2,1
2763,1,4196.429642,24641,105,12,82,0,1,504.0,0,1
2764,1,16473.16905,22828,106,11,54,0,2,508.8,0,1
2765,1,2657.5704309999996,0,71,22,25,0,1,340.8,1,1
2766,2,3267.709691,28729,90,26,19,3,1,338.744392,4,1
2767,1,2584.5328489999997,72731,65,10,7,0,1,125.70416399999999,0,1
2768,1,5503.9192570000005,59932,71,16,77,1,3,116.60010700000001,1,1
2769,1,8021.067105,54292,67,4,26,0,2,321.6,1,2
2770,0,19606.35999,0,194,0,22,0,2,931.2,0,1
2771,1,1904.000852,0,63,22,7,3,1,302.4,0,1
2772,1,7288.297591,59414,91,23,21,0,3,340.32277999999997,1,1
2773,2,5553.521059000001,96587,138,31,99,0,1,749.244062,3,1
2774,1,11702.34819,0,111,15,12,0,2,532.8,0,1
2775,0,36897.79765,0,133,0,59,0,2,638.4,1,1
2776,1,2957.102851,94362,74,21,96,0,1,195.405949,1,0
2777,1,19643.54421,84488,61,33,71,0,2,208.88568600000002,0,1
2778,1,4111.888285,65085,103,20,55,0,1,480.073548,1,1
2779,1,15122.99194,0,72,35,86,0,2,518.4,0,1
2780,1,12807.09083,0,69,32,21,0,2,450.760925,1,2
2781,2,2500.241685,0,67,4,44,0,1,664.128009,3,2
2782,1,4260.7091390000005,0,62,1,73,0,3,446.4,1,2
2783,1,2609.5331539999997,60798,66,21,57,0,1,316.8,0,1
2784,2,10796.44832,30761,69,16,16,2,2,331.2,3,2
2785,1,2590.654042,25981,65,33,38,0,1,77.54669,1,0
2786,0,29199.810719999998,67739,149,4,76,0,2,270.373444,0,1
2787,2,4194.659772,25581,105,9,21,0,1,429.69528399999996,2,1
2788,2,10314.52484,99759,65,12,25,3,2,74.463101,3,1
2789,2,9028.307862,76514,112,19,0,0,3,573.941286,3,1
2790,1,3954.3445340000003,18375,103,8,50,0,1,535.080276,0,0
2791,1,6089.517361,21832,84,29,39,0,3,403.2,0,2
2792,0,12827.42831,0,117,25,43,0,2,842.4,1,1
2793,1,9135.291575,95330,113,1,1,0,3,542.4,1,1
2794,1,7902.681227,0,106,21,25,0,9,634.396608,1,2
2795,1,14827.91055,0,68,31,69,2,2,326.4,1,1
2796,1,2500.834374,25899,63,20,36,0,1,302.4,0,1
2797,1,5395.346288000001,0,74,13,30,0,4,355.2,0,1
2798,1,2651.6159629999997,33201,66,9,56,0,1,314.044227,0,1
2799,1,2119.8943329999997,18287,61,6,56,4,1,292.8,1,1
2800,2,7155.471967,76506,89,35,65,0,8,427.2,2,2
2801,2,5994.226432,41859,76,18,58,0,5,166.1306,3,0
2802,1,22647.21772,27504,91,26,45,0,2,436.8,1,2
2803,2,2833.797966,45360,73,16,71,0,1,350.4,3,1
2804,1,22332.439459999998,49078,97,10,3,0,2,484.013411,1,1
2805,2,5846.41534,0,90,16,66,2,6,648.0,3,1
2806,1,2867.211836,91810,71,27,43,0,1,165.520952,1,1
2807,1,14435.664530000002,70600,122,26,5,1,2,636.982333,1,1
2808,0,5237.477743,33554,131,25,36,0,1,934.656068,1,1
2809,1,7710.912153,77642,64,20,14,0,2,282.14635400000003,0,0
2810,1,5158.576449,25963,66,11,35,0,9,298.954932,1,1
2811,1,5414.897604,57452,136,25,10,1,1,652.8,0,0
2812,2,2903.749709,0,77,15,89,0,1,491.66348,4,1
2813,2,5575.751228,91416,69,4,39,0,5,109.904496,3,1
2814,1,2616.409509,22000,69,27,36,0,1,383.224514,0,1
2815,1,4617.838205,41167,118,16,4,0,1,554.957693,0,0
2816,2,20123.86854,0,70,18,23,0,2,504.0,3,2
2817,1,3200.7954050000003,0,86,8,37,0,1,412.8,0,2
2818,1,8583.854913,53944,71,13,20,0,2,340.8,1,1
2819,1,4349.30875,75648,108,28,10,0,1,112.66091599999999,1,0
2820,1,4729.593583,29414,64,2,32,0,3,71.30310899999999,0,1
2821,1,5015.009472,48567,130,12,15,0,1,624.0,0,1
2822,1,5797.604861,69276,74,14,22,2,8,201.327931,0,1
2823,2,3475.0713600000004,0,96,6,60,0,1,460.8,3,0
2824,1,8542.218196,50117,107,13,98,0,4,462.654347,1,1
2825,1,16473.16905,22828,106,11,54,0,2,508.8,0,1
2826,2,6776.353402,0,96,0,38,0,3,818.730215,3,2
2827,0,9713.156737000001,0,136,7,34,0,3,979.2,3,0
2828,2,4429.193391,20868,112,14,11,0,1,537.6,3,0
2829,1,2435.5359949999997,40921,62,0,50,2,1,10.560419,0,1
2830,2,9863.502214,99654,121,13,95,0,3,272.788141,4,1
2831,2,8207.858272,0,110,16,17,0,5,686.90827,3,1
2832,1,2781.446975,56218,72,17,74,2,1,302.942519,0,1
2833,2,5807.9945689999995,70717,72,20,89,0,5,37.288740000000004,3,1
2834,1,8395.272249,62989,71,3,18,1,2,319.131547,1,1
2835,2,14333.92489,41459,71,8,4,0,2,340.8,4,1
2836,2,11003.54385,0,102,20,7,1,2,489.6,4,1
2837,1,4049.807215,42512,105,15,72,1,1,77.479316,1,1
2838,1,2141.7507570000002,0,61,5,90,0,1,437.040616,0,1
2839,2,5079.843625,83288,124,18,70,0,1,353.39769900000005,2,1
2840,2,2895.522489,46267,72,4,73,0,1,231.969205,3,1
2841,2,9031.214859,0,122,15,47,0,9,650.52179,4,1
2842,2,6554.390004,74424,81,26,74,0,9,388.8,4,1
2843,1,7487.744636,0,72,15,70,0,2,693.084662,1,1
2844,2,15118.895480000001,58883,62,1,47,0,2,432.480275,2,1
2845,2,9007.431501000001,41539,116,11,35,0,3,556.8,3,1
2846,2,5488.931031,33881,68,11,83,0,9,65.659137,3,0
2847,1,7234.142951999999,86448,90,25,79,0,6,59.853368999999994,0,1
2848,1,5205.751205,25237,69,23,52,0,9,378.345883,1,1
2849,2,4697.152892,0,67,10,75,0,7,482.4,3,1
2850,1,6207.171358,49419,77,3,34,0,4,203.29607099999998,1,1
2851,1,6615.815683,90414,83,7,49,1,6,398.4,1,2
2852,1,9708.504642,39930,86,22,64,1,2,412.8,1,1
2853,2,10831.13004,23202,96,29,59,0,2,460.8,2,1
2854,2,4626.801093,79487,114,20,87,0,1,547.2,4,1
2855,2,6748.231188,68423,85,14,81,0,7,324.413656,4,0
2856,1,2542.06388,84495,63,15,61,0,1,302.4,0,2
2857,2,5450.394878,43091,69,2,36,1,6,330.138332,2,1
2858,2,7243.865476000001,41951,91,30,56,0,7,40.536151000000004,3,1
2859,1,8306.550901,89834,105,17,14,0,3,504.0,1,1
2860,2,2734.514945,92157,69,19,33,0,1,270.381385,3,1
2861,1,11030.661479999999,35773,93,25,89,0,2,446.4,1,2
2862,2,3402.39442,0,99,16,20,0,1,475.2,3,1
2863,2,6945.016955,15850,61,28,14,0,2,314.528138,3,1
2864,1,2568.843396,11167,73,0,99,3,1,350.4,0,1
2865,2,5764.648599,21195,72,23,10,0,9,345.6,3,1
2866,2,5403.546122,27430,68,25,12,0,4,184.955105,4,1
2867,2,4899.231772,0,63,21,78,0,7,302.4,3,1
2868,2,9048.983447,0,119,9,8,0,3,571.2,3,1
2869,2,8093.898245,59839,107,8,52,2,8,513.6,3,1
2870,1,2496.766693,0,73,13,33,0,1,350.4,1,1
2871,1,2602.24525,38166,67,25,5,1,1,236.842746,1,1
2872,2,6751.437153,0,95,14,78,0,9,456.0,3,2
2873,1,3621.6888299999996,13457,94,31,28,0,1,285.825083,0,0
2874,1,6896.088021,0,68,10,53,0,2,326.4,1,1
2875,1,5438.696611,52721,136,34,29,0,1,550.127548,0,1
2876,0,14472.583,22012,185,5,69,0,5,75.698305,1,2
2877,1,2359.4235989999997,19864,63,22,96,0,1,352.394515,0,1
2878,1,5323.267311,55289,67,10,71,0,3,134.124254,1,1
2879,1,7390.903278,30449,92,23,47,0,3,501.092992,1,1
2880,1,11447.5071,27362,144,23,28,0,8,422.78410999999994,0,1
2881,2,5754.853121,29460,72,3,18,0,5,29.303915000000003,3,0
2882,1,10244.2435,0,94,23,34,0,2,451.2,1,1
2883,2,4645.569555,42532,118,13,32,0,1,200.641734,4,1
2884,2,4887.344365999999,66707,61,19,24,0,8,71.980757,3,0
2885,1,2497.808174,68041,64,10,47,0,1,165.570243,0,1
2886,1,2369.1115879999998,0,65,8,91,0,1,468.0,0,1
2887,1,4490.597249,0,64,26,11,1,7,307.2,0,1
2888,2,3719.247732,40968,97,29,53,1,1,465.6,3,0
2889,1,4198.030022999999,39913,106,16,61,0,1,344.765129,0,2
2890,1,2420.711888,31710,62,5,29,0,1,199.551735,0,1
2891,1,4462.9970060000005,0,73,35,52,3,5,350.4,0,1
2892,1,6291.655714,89113,78,18,68,0,8,219.36264300000002,0,1
2893,1,4270.034393999999,0,122,27,2,0,1,725.870693,1,1
2894,1,2460.665175,0,67,30,13,0,1,321.6,0,0
2895,0,19435.629240000002,38688,249,22,6,0,3,2294.631639,3,1
2896,1,7374.077920999999,0,110,19,87,4,3,528.0,1,1
2897,0,18269.53692,0,127,18,97,0,2,609.6,0,1
2898,2,11925.71535,28014,104,14,37,0,2,631.594469,3,2
2899,1,4223.274671,14170,109,9,10,0,1,523.2,1,1
2900,2,10298.385859999999,64825,129,1,78,0,4,359.48434199999997,3,1
2901,1,5229.741907,77357,67,24,38,0,8,29.884536999999998,0,1
2902,1,2402.81597,21629,62,19,54,0,1,298.626189,0,2
2903,2,3933.8139929999998,25927,103,6,20,0,1,674.973614,3,1
2904,1,4299.8388350000005,44388,113,10,74,1,1,496.843023,1,1
2905,1,7635.554626,54539,63,5,74,0,2,287.453171,1,1
2906,1,2722.210707,17576,71,29,70,0,1,398.502948,1,1
2907,2,7291.599536,84629,90,19,17,0,5,411.671832,4,0
2908,0,58753.88046,24964,185,0,84,0,2,888.0,0,1
2909,2,5261.037541,43573,66,30,64,0,5,409.684798,3,0
2910,1,16938.298580000002,0,69,24,99,0,2,340.78015600000003,1,1
2911,0,10575.94816,0,105,7,91,0,2,756.0,1,1
2912,1,5552.331515,35011,70,7,91,0,8,215.72846800000002,1,0
2913,1,7150.225367,63651,92,19,10,0,3,224.71183599999998,0,0
2914,1,8717.049833,83846,74,22,94,3,2,355.2,1,0
2915,0,6847.588918,0,191,2,70,0,1,1317.008182,0,1
2916,1,5418.726537,39133,67,25,26,0,3,90.524457,1,1
2917,1,3528.044252,31278,92,24,95,4,1,441.6,2,1
2918,2,16468.22079,0,63,4,52,0,2,685.12694,3,1
2919,2,7285.030983,44788,61,6,48,0,2,386.031248,3,2
2920,0,16963.839340000002,0,117,26,33,0,2,561.6,0,1
2921,1,5807.659307,62447,74,9,2,0,7,133.977857,1,1
2922,1,5068.264582,31475,64,6,3,1,3,22.962412,1,1
2923,1,8797.829644,80780,109,26,11,0,3,3.55,1,1
2924,1,4439.900652,88613,111,5,59,0,1,359.36848,0,2
2925,1,2404.459452,45949,62,0,70,0,1,110.55606200000001,1,1
2926,1,5066.634057,35596,64,11,92,0,3,307.2,0,1
2927,2,5890.528762,76875,73,21,4,0,9,17.375878,3,1
2928,1,2410.498573,41842,61,1,14,0,1,292.8,0,1
2929,1,5288.240125,28884,72,27,9,1,3,518.4,0,1
2930,2,26413.54751,24631,83,25,87,1,2,398.4,3,0
2931,1,16236.47626,0,74,24,54,2,2,680.753091,1,1
2932,1,5534.576395,71560,69,14,46,0,5,178.700204,0,1
2933,2,9202.638441,0,80,8,71,0,2,384.0,4,1
2934,2,2592.437797,72421,65,8,23,0,1,312.0,3,2
2935,0,8019.856041,54702,199,5,42,0,1,955.2,4,1
2936,2,6943.7415980000005,0,76,4,43,5,2,547.2,3,0
2937,2,13367.86562,57335,67,22,18,0,2,407.887715,3,1
2938,1,5885.335302,0,67,9,20,3,2,482.4,1,1
2939,2,3479.7601649999997,35033,87,26,53,0,1,490.638202,3,2
2940,1,9103.8997,65733,113,13,6,0,3,684.9485269999999,1,1
2941,1,4813.284447,0,69,30,44,0,3,472.611522,0,1
2942,1,9575.7578,0,88,3,64,0,2,633.6,1,1
2943,0,13736.1325,16181,181,22,79,0,8,1261.319869,4,1
2944,2,8090.884414,86180,69,11,43,4,2,48.051339,3,0
2945,2,8267.119555,36881,104,5,25,0,3,499.2,3,1
2946,2,2489.16729,47888,64,23,16,1,1,545.083116,3,2
2947,2,2395.57,21986,63,1,9,0,1,333.69622799999996,2,1
2948,1,3863.309585,47199,100,3,65,3,1,480.0,1,1
2949,1,5173.485318999999,0,69,30,69,0,9,331.2,1,1
2950,1,4984.618654999999,86305,62,1,99,0,5,80.73124,0,1
2951,2,2396.192355,39062,61,2,20,0,1,346.991025,3,1
2952,1,2631.87754,16976,69,23,54,0,1,238.95252799999997,1,1
2953,2,6993.838856,0,65,29,35,2,2,468.0,3,1
2954,0,15055.538359999999,83283,193,11,46,1,3,273.70270899999997,1,1
2955,2,3401.881747,41972,86,20,23,0,1,691.709371,3,1
2956,1,4126.61326,34080,107,11,48,1,1,220.64441800000003,1,1
2957,1,4462.9970060000005,0,73,35,52,3,5,350.4,0,1
2958,1,9320.090224,40269,81,0,71,2,2,329.980754,1,1
2959,1,3663.7401979999995,61894,91,3,21,0,1,436.8,0,1
2960,1,4962.208409000001,23300,63,3,35,1,4,339.906034,1,2
2961,1,2816.758764,66023,70,11,94,0,1,265.629611,0,1
2962,1,4330.769101,39660,107,3,46,0,1,416.8496,0,2
2963,1,8262.879764,0,76,4,51,1,2,32.508635,1,1
2964,1,4666.643522,60466,117,14,3,0,1,784.186389,0,0
2965,1,5876.054314,32848,74,2,59,0,5,250.454012,1,1
2966,1,8427.723769,20662,72,10,99,0,2,373.324673,0,1
2967,2,13023.9329,64985,108,23,94,0,2,16.425514,3,2
2968,2,8209.59982,68022,103,3,26,0,3,494.4,3,2
2969,1,2464.238061,72834,65,12,81,3,1,91.941259,1,1
2970,2,2727.520769,74592,67,9,30,0,1,321.6,2,1
2971,1,3086.013544,73938,76,34,48,0,1,53.095599,1,1
2972,1,22067.728,15999,83,2,43,0,2,398.4,1,1
2973,1,4836.0542909999995,0,69,12,89,0,8,632.0814019999999,1,2
2974,1,6912.039629999999,0,96,11,55,0,5,460.8,1,1
2975,2,2570.7617649999997,0,72,0,93,3,1,345.6,4,2
2976,1,2991.696011,0,80,9,96,0,1,576.0,0,2
2977,2,8253.266591,62375,103,35,71,1,3,411.228571,3,2
2978,2,10477.77713,61427,88,24,12,0,2,422.4,2,0
2979,2,16373.7273,64396,103,2,46,0,2,355.409311,3,1
2980,1,5184.94945,49312,65,30,55,1,4,230.104769,1,1
2981,2,10634.837109999999,0,61,35,71,0,2,292.8,3,1
2982,2,15114.402409999999,28513,100,4,22,1,2,480.0,3,1
2983,2,11875.89915,0,108,23,55,0,2,518.4,3,1
2984,1,4369.496687,97321,110,35,46,0,1,74.74464300000001,1,1
2985,1,7432.856752,58839,65,4,65,3,2,18.965718,1,1
2986,2,2558.7629309999998,0,72,4,14,0,1,518.4,3,1
2987,1,5452.171237,88567,67,9,89,0,9,321.6,0,1
2988,1,2968.0775710000003,91646,74,12,10,0,1,57.678779000000006,1,1
2989,0,15700.28436,0,211,31,52,0,5,1012.8,3,1
2990,2,7477.176362,48552,94,5,54,0,9,262.746281,3,1
2991,1,9407.452895,31485,118,17,79,0,6,294.905685,0,1
2992,2,4428.038374000001,0,64,6,47,0,8,628.801638,3,2
2993,0,10053.55227,16511,135,35,4,0,5,972.0,1,0
2994,1,2907.8988280000003,51020,73,16,88,0,1,350.4,1,1
2995,1,7644.763153,43838,97,11,37,0,7,465.6,1,1
2996,0,9709.746073,0,133,11,30,0,7,827.085431,1,2
2997,1,8439.615236,22454,110,5,75,2,3,556.0970269999999,0,1
2998,1,4209.682602000001,57933,105,10,64,0,1,533.255723,0,2
2999,1,8556.418397,0,124,7,2,3,6,595.2,1,2
3000,0,26770.445340000002,26335,113,32,7,1,2,355.818306,1,0
3001,0,16265.586819999999,85322,134,32,55,0,2,735.491986,0,1
3002,2,3624.9016119999997,37843,92,2,17,0,1,354.455466,3,1
3003,1,2519.918897,0,67,11,26,0,1,482.4,0,1
3004,1,4819.183706,74730,61,18,84,0,6,421.235276,1,2
3005,2,3028.7801210000002,0,94,27,52,1,1,483.88175199999995,3,1
3006,1,2316.796105,0,64,2,80,0,1,307.2,0,1
3007,0,13869.92705,28432,118,1,59,0,2,612.300581,1,2
3008,0,25807.063,71210,214,8,89,1,2,1027.2,1,2
3009,1,2342.0138100000004,19581,67,2,94,0,1,321.6,0,0
3010,1,2747.771656,0,80,12,14,0,1,576.0,0,1
3011,2,5479.555081,56005,68,31,30,1,3,326.4,4,2
3012,1,9199.539814,0,80,10,11,0,2,572.8475490000001,1,1
3013,2,8060.161693999999,23671,69,32,45,0,2,331.2,3,1
3014,2,6686.128629,22244,84,6,59,0,9,114.81589299999999,3,1
3015,2,4709.52218,0,66,17,29,0,3,470.57611900000006,3,2
3016,2,2685.425957,75329,67,15,17,0,1,45.905291999999996,3,0
3017,2,3920.511337,0,108,2,55,1,1,525.392239,3,0
3018,1,5493.698779,44369,68,13,22,0,8,185.291566,1,1
3019,2,8521.738901,37910,108,7,9,0,7,518.4,3,1
3020,2,2414.072446,0,71,25,30,0,1,511.2,3,1
3021,1,4282.9479710000005,40864,109,16,70,1,1,166.937747,1,1
3022,1,5918.330563,94846,73,15,68,0,7,305.031114,1,1
3023,2,7519.133631000001,96306,95,12,17,1,6,185.355353,3,1
3024,2,4472.334422,53519,111,7,37,0,1,520.036279,2,1
3025,1,5531.6277310000005,50648,69,27,50,1,9,331.2,0,1
3026,1,8435.176463,64692,70,17,80,0,2,336.0,0,2
3027,2,10196.1106,0,100,9,75,0,2,720.0,3,1
3028,0,20552.62128,0,187,22,97,1,2,1430.3361830000001,3,1
3029,1,3915.798108,0,109,2,86,0,1,784.8,0,0
3030,2,6010.502178,49311,74,25,85,0,3,355.2,4,0
3031,2,2854.114491,71126,71,11,72,0,1,324.73974599999997,3,1
